training_rows,train_roc_auc_mean,train_roc_auc_std,validation_roc_auc_mean,validation_roc_auc_std
60,0.94957583884,0.022455170783,0.900448933782,0.037133538903
121,0.944306100932,0.013489334009,0.910609066859,0.034058915293
181,0.940553927522,0.010633081856,0.917499699375,0.033172291714
242,0.933547485206,0.007363727243,0.917892917268,0.032555000748
