k,silhouette,davies_bouldin,calinski_harabasz,selected,stability_ari_mean,stability_ari_std
2,0.18027715532970395,2.004108657694342,70.92419566541435,True,0.8912908453584436,0.09552892754531772
3,0.13963274798512626,2.1729466327346034,54.213058760982776,False,,
4,0.12479325499059238,2.1962726726992248,45.23903771861546,False,,
5,0.12051303430580369,2.210990336505944,39.6217227637227,False,,
6,0.11682961826408615,2.180929963760214,35.70864961199836,False,,
