cohort,cluster,n,proportion,disease_prevalence,median_centroid_distance,cluster_proportion_total_variation,status
cleveland,0,139,0.45874587458745875,0.7338129496402878,2.654236981316858,0.0,available
cleveland,1,164,0.5412541254125413,0.22560975609756098,2.2833623543050874,0.0,available
hungary,0,85,0.2891156462585034,0.788235294117647,2.7328463209747866,0.16963022832895536,available
hungary,1,209,0.7108843537414966,0.18660287081339713,2.262440149706456,0.16963022832895536,available
switzerland,0,53,0.43089430894308944,0.9811320754716981,5.600543449398121,0.027851565644369303,available
switzerland,1,70,0.5691056910569106,0.9,5.356521989535631,0.027851565644369303,available
va,0,119,0.595,0.8403361344537815,2.923675044988154,0.13625412541254123,available
va,1,81,0.405,0.6049382716049383,2.466887316920137,0.13625412541254123,available
